Comment,Location 1,Location 2,Location 3
এটা ওদের প্রাপ্য,চট্টগ্রাম,Chittagong,
তুয়ার কি সমাস্যা,Chittagong,Cox's Bazar,
তাহলে ছাত্রদলের রাকিবের বদলি তুমি দৌড় দিয়ে দাও তাইলেই তো হয়।,নরসিংদী,Dhaka,Rangamati
ছাত্রদলের কোন পেশা নাই দৌড়ানি তাদের পেশা,Chittagong,,
Faaaaahh,Habiganj,,
এটা একটু বেশি হয়ে গেছে দৌড়াদৌড়ি,Dhaka,Chittagong,Lakshmipur
Fahim Khan,Dhaka,,
তুই কি করতি মনে আছে!!!,Sylhet,,
আমায় বিনোদন দায়,বরিশাল,Barishal,Barisal
"""নেতার ছেলে নেতা হবেন।আর কর্মীরা হবেন পরিচ্ছন্নতা কর্মী ।নেতার ছেলে নেতা হবে, আর মাঠে যারা কাজ করে তারা সারাজীবন কর্মীই থেকে …",বগুড়া,Rajshahi,Bogura
ছাত্রদল সভাপতি না ও চামচা,সাতক্ষীরা,Khulna,
তুমি দৌড়াতে চাও? সরকারি কাজের বাইরে দলীয় কার্যক্রমে ছাত্রদল আসবে এটাই স্বাভাবিক।,Chittagong,Feni,
কেনো তোমারও কি ইচ্ছা করে নাকি!!,Dhaka,Faridpur,
রাজনীতি সহজ পসা এদের কাছে বুজলেন ভাইটু চাটা চাটি ভালো জানা থাকলে কাজ ওকে,Dhaka,,
"""ওনারা এখন আবোল তাবোল বলতেই থাকবে, কেননা দেড় বছরে যা পাইছে মৃত্যুর আগ পর্যন্ত ভুলতে পারবেনা",Dhaka,Joypurhat,Naogaon
আমিও কষ্ট পাইছি তুই ফেল করাতে,Tangail,,
Right,নরসিংদী,Dhaka,Faridpur
আমার বঙ্গবন্ধু,Dhaka,Narsingdi,
তোমার পিছনে যখন মেধাবী নামক ছাত্ররা দৌড়ায় তখন ভালো লাগে?,Chittagong,Brahmanbaria,
চাচায় ভালো দৌড়ে,কিশোরগঞ্জ,Dhaka,Kishoreganj
আমার কাছেও খারাপ লাগে,বরিশাল,Barisal,
বয়সের দোষ,Cox's Bazar,,
এটা বিএনপি ছাত্র দল তাই সম্ভব।,ঢাকা,Dhaka,
"""আসলেই লজ্জাও এবং সাথে দলের ভাব মুর্তি নষ্ট হলো,কিন্তু ছাত্রদল সভাপতি উনার নিজেরই'ত ব্যাক্তিত্য নেই।",Sylhet,,
এই দেহি নাসির পাটোয়ারী টু,Dhaka,,
"""শেখ হাসিনার পিছনে যখন যাইতি,তখন ঠিক ছিল",চট্টগ্রাম,Chittagong,
মায়ের থেকে মাসির দরদ বেশি,Chittagong,,
এতে তুর কি সমস্যা। এটা যার যার ব্যাক্তিগত বিষয়।,Brahmanbaria,,
কি তুমি দৌড়াতে পারলে ভালো হতো?,কুমিল্লা,Dhaka,
তুই দৌড়াইতে চাস,Dhaka,Jamalpur,
ওরে জালা অন্তর জালা,ভোলা,Bhola,
